bedroom_num,hall_num,bathroom_num,rent_area,house_title,resblock_name,bizcircle_name,layout,rent_price_listing,house_tag,frame_orientation,m_url,rent_price_unit,latitude,longitude,distance,city,dist,type
3,1,1,82,整租·永安花苑 3室1厅 南,永安花苑,梅山,3室1厅1卫,1400,新上,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2320976433393958912.html,元/月,31.900338244364,118.63487902537,1059.0,南京,雨花台,整租
2,1,1,88,整租·金盛田阳光青城 2室1厅 南/北,金盛田阳光青城,江浦街道,2室1厅1卫,2800,近地铁,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2313686689916665856.html,元/月,32.075253,118.647628,685.0,南京,浦口,整租
3,2,1,92,整租·五矿崇文金城 3室2厅 南,五矿崇文金城,奥体,3室2厅1卫,4500,近地铁,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2229627541382512640.html,元/月,31.973533,118.703718,666.0,南京,建业,整租
3,2,2,130,整租·南大和园 3室2厅 南/北,南大和园,仙林,3室2厅2卫,6000,近地铁 双卫生间,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2318687607523393536.html,元/月,32.111475357073,118.96661390487,242.0,南京,栖霞,整租
2,1,1,70,整租·清泽园 2室1厅 南,清泽园,奥体,2室1厅1卫,2800,新上,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2323249012016693248.html,元/月,31.970163,118.710994,,南京,建业,整租
3,1,1,70,整租·兆园 3室1厅 南/北,兆园,茶南,3室1厅1卫,4500,近地铁,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2299905631962284032.html,元/月,32.036717,118.75599,461.0,南京,建业,整租
4,1,1,7,合租·天景山公寓盛乐苑 4居室 北卧,天景山公寓盛乐苑,东山镇,4室1厅1卫,860,公寓 近地铁 精装 押一付一 新上 随时看房,北,https://m.lianjia.com/chuzu/nj/zufang/NJ2323469410754904064.html,元/月,31.953959,118.887653,1106.0,南京,江宁,合租
2,1,1,76,整租·河滨路(浦口) 2室1厅 南/北,河滨路(浦口),江浦街道,2室1厅1卫,2300,,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ1957196088469626880.html,元/月,32.05392,118.67047,,南京,浦口,整租
3,1,1,89,整租·华润国际社区 3室1厅 南,华润国际社区,顶山街道,3室1厅1卫,1200,,南,https://m.lianjia.com/chuzu/nj/zufang/NJ2218008872776638464.html,元/月,32.094421,118.695164,,南京,浦口,整租
3,1,1,120,整租·长城苑 3室1厅 南/北,长城苑,麒麟镇,3室1厅1卫,1600,,南 北,https://m.lianjia.com/chuzu/nj/zufang/NJ2310582793261809664.html,元/月,32.050336369108,118.93895038404,,南京,江宁,整租
